orderID,executionDate,WETHamount,DXD/WETH,fill,minDXD,WETHleft,batchExpiry,txsHash,ethPrice,dxdPrice
19,10-08-2021,12.400000000000000000,0.1519370743174363,0.9999999997437273,81.612733795921034729,3.177781104E-9,5437221,https://blockscout.com/xdai/mainnet/tx/0x3e514530a4cb6878a15766858890f1d61ac20b33334ffe3cac14d9e1fa9d685c,3163.0646551948857,480.5867895872014
20,11-08-2021,11.880000000000000000,0.14730643405748514,0.99999999973251,80.648208450717946780,3.177781557E-9,5437518,https://blockscout.com/xdai/mainnet/tx/0xf51b3cab524c7426ada133c03734d9604afc5cec586453d6fe57209ba11da6c6,3147.842995401753,463.6975266254649
21,12-08-2021,11.260000000000000000,0.1607275818356956,0.9999999997177814,70.056426354442252726,3.177781231E-9,5437798,https://blockscout.com/xdai/mainnet/tx/0x71b085e999a2b73559ec2cc4110d9cda843ba805a8530412c642a4d504a2e1c3,3166.6472179679286,508.9675498707181
22,13-08-2021,10.680000000000000000,0.15796969674155806,0.999999999702455,67.607903416265452405,3.177780478E-9,5438129,https://blockscout.com/xdai/mainnet/tx/0x461a40c4ec32eaafb4372326acf418abf08e1de75988843cbb9f85f8503dd437,3048.4126816864195,481.5568268691235
23,16-08-2021,10.410000000000000000,0.15247265135422056,0.9999999996947376,68.274539122532568648,3.177781281E-9,5438994,https://blockscout.com/xdai/mainnet/tx/0x6f92b06bececcf2732446246ae92e6afa55043cf56e770707fc1ff5db1f73559,3309.7549104132368,504.647106523357
24,17-08-2021,10.620000000000000000,0.15619215214828316,0.9999999997007739,67.993172857479786292,3.177781058E-9,5439303,https://blockscout.com/xdai/mainnet/tx/0x795e9e07c79053fd907f4f545139488943c3451b4811f4de4e2446a882155c09,3153.583683763619,492.56502254675047
25,18-08-2021,10.350000000000000000,0.15863177796820432,0.999999999692968,65.245439044845876169,3.177780738E-9,5439555,https://blockscout.com/xdai/mainnet/tx/0xfc394d47e67a1e6e3daf5deeeeca7de3e397cca25651ba66b14b240d3a0a565a,3007.1440271712713,477.02860363664485
26,19-08-2021,10.130000000000000000,0.15211320026264638,0.9999999996863,66.595140872120414495,3.177780543E-9,5439847,https://blockscout.com/xdai/mainnet/tx/0x681f2e57c92450f25c8570eb8852986f87bad7a0232d0fb7462720cbf41e7e46,3037.230251196439,462.0028134440117
27,20-08-2021,10.580000000000000000,0.15330176034297419,0.9999999996996426,69.014210771813102345,3.177781351E-9,5440158,https://blockscout.com/xdai/mainnet/tx/0x2cd35bb99347f4f5544871dd3bd6251d57d3b5f9ca4f917aaaff0e424e2ca14e,3144.8184367851927,482.1062023182103
28,21-08-2021,10.220000000000000000,0.15181720335583873,0.9999999948530912,67.317799130087517927,5.2601407813E-8,5440414,https://blockscout.com/xdai/mainnet/tx/0x184a8c8797b91f431aebeb50d8599a7b57cc5dd893ee03b8ff87c4456b4a33a7,3276.9698366433354,497.5003960806309
29,22-08-2021,10.530000000000000000,0.16045432745366475,0.9999999996982164,65.626151485635708079,3.177781288E-9,5440708,https://blockscout.com/xdai/mainnet/tx/0x179e34093a4628740c1a05f7f70f3727913b7e490d84160d97e26101f9d66cde,3224.0004601521537,517.3048255440195
30,23-08-2021,11.040000000000000000,0.16205751261291898,0.9999999985487293,68.123963042487838542,1.6022028077E-8,5441001,https://blockscout.com/xdai/mainnet/tx/0x8d17b2f7ca17f3a9bb9313676e47e6f706be114ff9036d476e4d00e6c60688b2,3243.4863583537394,525.6313314287419
31,26-08-2021,11.110000000000000000,0.16957407666494942,0.999999998484276,65.517089749228228673,1.6839693537E-8,5441287,https://blockscout.com/xdai/mainnet/tx/0x2757dcb424d1e49d296312046379260406da714472834710751828d1a2a8a7bd,3231.4414517287996,547.9687004737549
32,27-08-2021,10.460000000000000000,0.1722675861314263,0.9999999995018335,60.719490154229376012,5.210821674E-9,5441574,https://blockscout.com/xdai/mainnet/tx/0x4a5e4c419741c67fb020223c8efd49c4b84a530a2d0e27c8a853a73d48870b3d,3122.971797237849,537.9868130666863
33,27-08-2021,10.200000000000000000,0.174715377548342,0.9999999983490497,58.380665417832282530,1.6839692706E-8,5441872,https://blockscout.com/xdai/mainnet/tx/0xbb8e754c0131b720d9d5d5b6399cdb604ac12a917634912659e62859dcc0fbe3,3122.971797237849,545.6311966272349
34,28-08-2021,10.100000000000000000,0.176191340138774,0.9999999983327037,57.324043236432132657,1.6839692640E-8,5442428,https://blockscout.com/xdai/mainnet/tx/0x2ab268e1a12458a07b822b4fd8dd2975d922b4bb518878e357cf4ed17795302c,3267.539434750998,575.7121519650703
35,29-08-2021,10.070000000000000000,0.17854955643793946,0.9999999983277366,56.398907960883937199,1.6839692829E-8,5442741,https://blockscout.com/xdai/mainnet/tx/0x75d2ea7abeb3057ee430526a1e843cf0538d5525ba17526604ee66b017e57adc,3245.430222387629,579.4701266575944
36,30-08-2021,10.620000000000000000,0.18566380374924304,0.9999999994164126,57.200163874393839459,6.197698194E-9,5443073,https://blockscout.com/xdai/mainnet/tx/0x1ec10a1bd842ba30438f4cfa217ed4854763fc8a59d506b2121bf6aeb41fd805,3233.383151693551,600.3222149221405
37,02-09-2021,10.740000000000000000,0.18135945817836266,0.9999999984320583,59.219409386619737505,1.6839693486E-8,5443619,https://blockscout.com/xdai/mainnet/tx/0xa25f44c28850afb69fe21a2ba32643c9cd6c563cb60a0a771d9dccab58439adf,3790.6139962215557,687.4637005180593
38,04-09-2021,10.540000000000000000,0.18826728995519337,0.9999999996985027,55.984233918215235290,3.177781242E-9,5444492,https://blockscout.com/xdai/mainnet/tx/0x254ca5fc870c112a2c90c83c614cf06933770ec44b97533042306f7b09e786cb,3936.1633916244464,741.0508145619772
39,05-09-2021,9.720000000000000000,0.18695262896547535,0.9999999996730679,51.991780237522081261,3.177780478E-9,5444782,https://blockscout.com/xdai/mainnet/tx/0x8b04e5f623e102ec8c9beec7bc7b319e2ca9813554ea3af7f0a308db27818bbd,3894.937511605067,728.1688074508138
40,10-09-2021,8.430000000000000000,0.16839693022091484,0.9917539929792516,50.060294976523256159,0.069513839184909030,5445682,https://blockscout.com/xdai/mainnet/tx/0x0347eb6780ead3e1ed324c64a197618b6620c4b01cb300d1a46192b9446a6ea9,3435.97993265133,578.6084729591496
41,12-09-2021,8.530000000000000000,0.16892906347321934,0.7238416413157811,50.494567510298654262,2.355630799576387000,5446459,https://blockscout.com/xdai/mainnet/tx/0xacfaa12531a9167d1aab1cca359f2c4f4a0763948ba77ee30235309cd73c2c86,3268.1041621348804,552.0777754423755
42,13-09-2021,9.770000000000000000,0.18958483606040683,0.9999999998207008,51.533657453948558004,1.751753595E-9,5447087,https://blockscout.com/xdai/mainnet/tx/0x3f6a14c0242b19dd75367c8dd0905b564c1b409f5d283628714756db4ab6a9f4,3417.839366766938,647.9705160293147
43,15-09-2021,9.480000000000000000,0.18919015922907062,0.9999999998152159,50.108314505521699784,1.751753049E-9,5447414,https://blockscout.com/xdai/mainnet/tx/0xd1291e108986116dfd4cdfc55f11e7fd77e57410759a687759573a87497aba1d,3425.2508733748823,648.0237581333072
44,03-10-2021,12.610000000000000000,0.18544727737361383,0.9999999998610822,67.997762914551157790,1.751753031E-9,5451738,https://blockscout.com/xdai/mainnet/tx/0x248e3b3ec3c524aa2bc0e96eae64b4d6ea2f076f302a52c67302d806e27ade68,3393.9242492696653,629.3940116393456
45,07-10-2021,12.000000000000000000,0.1757082451907488,0.9999999998540205,68.295030702587725316,1.751753408E-9,5452944,https://blockscout.com/xdai/mainnet/tx/0xc95697c3f49dabae252496742a5d7a021b95d4dd3853507bad17174833aab2c6,3592.1761295000256,631.1749641305455
46,07-10-2021,12.800000000000000000,0.2133864690562727,0.9999999998631443,59.985059299258934295,1.751753586E-9,5453208,https://blockscout.com/xdai/mainnet/tx/0xf8c04606782029d5aec1185f020647124042072de5009d4c5fbde063fb6abaff,3592.1761295000256,766.5217805022386
47,07-10-2021,12.450000000000000000,0.2262855348637619,0.9999999998592969,55.018983018493347414,1.751753792E-9,5453177,https://blockscout.com/xdai/mainnet/tx/0xfcb54f6c07de90771b81d9e417dd1c2b22b6a2b590bb760037465da8f9828efa,3592.1761295000256,812.8574967887514
48,07-10-2021,12.130000000000000000,0.18612359869758152,0.9999999998555851,65.171746543054655664,1.751753033E-9,5453464,https://blockscout.com/xdai/mainnet/tx/0xd9c7f476518d904de9712adae40028f6bd689ddba66707edbeb8bc224ef14521,3592.1761295000256,668.5887483780942
49,09-10-2021,10.710000000000000000,0.1842930780812211,0.9999999997403773,58.113956918555128999,2.780558653E-9,5454252,https://blockscout.com/xdai/mainnet/tx/0xc0fb02727615b93aabcf10b10e6c18741b580222dd8ccf111912dc5191c201ba,3558.549577083409,655.8160550653291
50,12-10-2021,10.210000000000000000,0.21228949333899846,0.9999999997276633,48.094702377455721816,2.780557796E-9,5455472,https://blockscout.com/xdai/mainnet/tx/0x16da16a48ee66398ef9580e387b8d7f2e1ec7e6d96406ceb316b896f54bce2fd,3537.840087124068,751.0462796099665
51,13-10-2021,10.100000000000000000,0.19729724072711013,0.9999999997246972,51.191795499916403299,2.780558083E-9,5455756,https://blockscout.com/xdai/mainnet/tx/0x49db66ad9d77100fa03ad6dfc89580503d9e54e619e82c80bed0c8c6e75b58d6,3498.1052921206597,690.1665219083077
52,14-10-2021,10.120000000000000000,0.19887494756514476,0.9999999997252412,50.886248488814953390,2.780558765E-9,5456063,https://blockscout.com/xdai/mainnet/tx/0x5109bd7874fae664c41bbb629c6652993b77f811f1581358960ec3d17ed1cd3b,3605.6503342981764,717.0735211717965
53,15-10-2021,10.380000000000000000,0.18172401998040205,0.999999999826448,57.119581666306006341,1.801469247E-9,5456370,https://blockscout.com/xdai/mainnet/tx/0x7fee4efcaa411ab4a622ccb7015d6abe85fa219e0a5f39d130a07b0983977270,3794.516888224821,689.5548628117405
54,16-10-2021,10.370000000000000000,0.17063125572095988,0.9999999997318652,60.774328572946066179,2.780558370E-9,5456697,https://blockscout.com/xdai/mainnet/tx/0xf4f6b84fc381df81ea3660ab5eb263f7e138be098377e65fb96414275f170ef3,3885.641764529699,663.0119335635088
55,17-10-2021,10.520000000000000000,0.17552892127986935,0.9999999997356883,59.933143343520865307,2.780558912E-9,5456918,https://blockscout.com/xdai/mainnet/tx/0x0b40ee7ebde995d6829edef768f25641891d5595f0afbcd4fdc25eea56bdc317,3854.498461449342,676.575957013119
56,18-10-2021,9.450000000000000000,0.17422081328914932,0.999999999705761,54.241510079028875217,2.780558233E-9,5451080,https://blockscout.com/xdai/mainnet/tx/0xfea1babc18179fde9289dbbb27fd32c2fd781d7a4b275269a55c136c314ab766,3854.223686940845,671.4859853371377
57,19-10-2021,10.500000000000000000,0.1745020659280714,0.9999999997351849,60.171207396066190541,2.780558117E-9,5457188,https://blockscout.com/xdai/mainnet/tx/0xb2636c1f9c17d530505e19c5c898401d3cd930adea348ba472861c9da1f25f37,3752.61872738495,654.839720569044
